batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.648976,13.853383
0,mae,0,0.075,7.273253,14.111444
0,mae,0,0.1,8.365346,14.625088
0,mae,0,0.15,9.148756,15.258864
0,mse,0,0.05,3.083336,11.965299
0,mse,0,0.075,3.798154,12.314379
0,mse,0,0.1,4.890165,12.981571
0,mse,0,0.15,5.573194,13.586617
0,mae,1,0.05,6.648976,13.853383
0,mae,1,0.075,7.273253,14.111444
0,mae,1,0.1,8.365346,14.625088
0,mae,1,0.15,9.148756,15.258864
0,mse,1,0.05,3.083336,11.965299
0,mse,1,0.075,3.798154,12.314379
0,mse,1,0.1,4.890165,12.981571
0,mse,1,0.15,5.573194,13.586617
0,mae,2,0.05,6.648976,13.853383
0,mae,2,0.075,7.273253,14.111444
0,mae,2,0.1,8.365346,14.625088
0,mae,2,0.15,9.148756,15.258864
0,mse,2,0.05,3.083336,11.965299
0,mse,2,0.075,3.798154,12.314379
0,mse,2,0.1,4.890165,12.981571
0,mse,2,0.15,5.573194,13.586617
0,mae,3,0.05,6.648976,13.853383
0,mae,3,0.075,7.273253,14.111444
0,mae,3,0.1,8.365346,14.625088
0,mae,3,0.15,9.148756,15.258864
0,mse,3,0.05,3.083336,11.965299
0,mse,3,0.075,3.798154,12.314379
0,mse,3,0.1,4.890165,12.981571
0,mse,3,0.15,5.573194,13.586617
0,mae,4,0.05,6.648976,13.853383
0,mae,4,0.075,7.273253,14.111444
0,mae,4,0.1,8.365346,14.625088
0,mae,4,0.15,9.148756,15.258864
0,mse,4,0.05,3.083336,11.965299
0,mse,4,0.075,3.798154,12.314379
0,mse,4,0.1,4.890165,12.981571
0,mse,4,0.15,5.573194,13.586617
0,mae,5,0.05,6.648976,13.853383
0,mae,5,0.075,7.273253,14.111444
0,mae,5,0.1,8.365346,14.625088
0,mae,5,0.15,9.148756,15.258864
0,mse,5,0.05,3.083336,11.965299
0,mse,5,0.075,3.798154,12.314379
0,mse,5,0.1,4.890165,12.981571
0,mse,5,0.15,5.573194,13.586617
0,mae,6,0.05,6.648976,13.853383
0,mae,6,0.075,7.273253,14.111444
0,mae,6,0.1,8.365346,14.625088
0,mae,6,0.15,9.148756,15.258864
0,mse,6,0.05,3.083336,11.965299
0,mse,6,0.075,3.798154,12.314379
0,mse,6,0.1,4.890165,12.981571
0,mse,6,0.15,5.573194,13.586617
0,mae,7,0.05,6.648976,13.853383
0,mae,7,0.075,7.273253,14.111444
0,mae,7,0.1,8.365346,14.625088
0,mae,7,0.15,9.148756,15.258864
0,mse,7,0.05,3.083336,11.965299
0,mse,7,0.075,3.798154,12.314379
0,mse,7,0.1,4.890165,12.981571
0,mse,7,0.15,5.573194,13.586617
0,mae,8,0.05,6.648976,13.853383
0,mae,8,0.075,7.273253,14.111444
0,mae,8,0.1,8.365346,14.625088
0,mae,8,0.15,9.148756,15.258864
0,mse,8,0.05,3.083336,11.965299
0,mse,8,0.075,3.798154,12.314379
0,mse,8,0.1,4.890165,12.981571
0,mse,8,0.15,5.573194,13.586617
0,mae,9,0.05,6.648976,13.853383
0,mae,9,0.075,7.273253,14.111444
0,mae,9,0.1,8.365346,14.625088
0,mae,9,0.15,9.148756,15.258864
0,mse,9,0.05,3.083336,11.965299
0,mse,9,0.075,3.798154,12.314379
0,mse,9,0.1,4.890165,12.981571
0,mse,9,0.15,5.573194,13.586617
0,mae,10,0.05,6.648976,13.853383
0,mae,10,0.075,7.273253,14.111444
0,mae,10,0.1,8.365346,14.625088
0,mae,10,0.15,9.148756,15.258864
0,mse,10,0.05,3.083336,11.965299
0,mse,10,0.075,3.798154,12.314379
0,mse,10,0.1,4.890165,12.981571
0,mse,10,0.15,5.573194,13.586617
0,mae,11,0.05,6.648976,13.853383
0,mae,11,0.075,7.273253,14.111444
0,mae,11,0.1,8.365346,14.625088
0,mae,11,0.15,9.148756,15.258864
