batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.443313,15.591577
0,mae,0,0.075,4.952838,15.141315
0,mae,0,0.1,5.76527,14.985882
0,mae,0,0.15,7.073364,14.858928
0,mse,0,0.05,1.015099,15.403673
0,mse,0,0.075,2.129282,14.552327
0,mse,0,0.1,2.931046,14.376267
0,mse,0,0.15,4.14519,13.85485
0,mae,1,0.05,3.444946,15.552194
0,mae,1,0.075,4.691552,15.237229
0,mae,1,0.1,5.536713,15.088646
0,mae,1,0.15,6.92973,14.921349
0,mse,1,0.05,1.085493,15.440493
0,mse,1,0.075,1.855802,14.793731
0,mse,1,0.1,2.606153,14.427443
0,mse,1,0.15,3.90338,13.966161
0,mae,2,0.05,3.006415,15.811653
0,mae,2,0.075,4.729175,15.438976
0,mae,2,0.1,5.527925,14.974398
0,mae,2,0.15,6.999144,15.035601
0,mse,2,0.05,0.747764,16.366859
0,mse,2,0.075,1.761313,15.672307
0,mse,2,0.1,2.443018,15.115319
0,mse,2,0.15,3.855728,14.419571
0,mae,3,0.05,3.272246,15.840268
0,mae,3,0.075,4.662511,15.228697
0,mae,3,0.1,5.864042,15.215089
0,mae,3,0.15,7.349545,15.051157
0,mse,3,0.05,0.857077,16.403008
0,mse,3,0.075,1.783743,15.355684
0,mse,3,0.1,2.746316,15.319151
0,mse,3,0.15,4.117793,14.29675
0,mae,4,0.05,3.34267,15.58532
0,mae,4,0.075,4.824186,15.131798
0,mae,4,0.1,5.637224,14.871328
0,mae,4,0.15,6.859644,15.254387
0,mse,4,0.05,1.038139,16.175034
0,mse,4,0.075,1.908929,15.23207
0,mse,4,0.1,2.556443,14.725694
0,mse,4,0.15,3.557418,14.734614
0,mae,5,0.05,3.35908,15.521229
0,mae,5,0.075,4.932567,14.945523
0,mae,5,0.1,5.609544,15.006609
0,mae,5,0.15,6.854561,15.608541
0,mse,5,0.05,0.976438,15.666617
0,mse,5,0.075,1.983806,14.879395
0,mse,5,0.1,2.466662,14.74635
0,mse,5,0.15,3.480104,15.190928
0,mae,6,0.05,3.370262,15.442018
0,mae,6,0.075,5.175422,14.721521
0,mae,6,0.1,5.860837,15.096394
0,mae,6,0.15,7.108685,15.356579
0,mse,6,0.05,1.00739,15.703594
0,mse,6,0.075,2.161459,14.608599
0,mse,6,0.1,2.726776,14.913034
0,mse,6,0.15,3.811361,14.693609
0,mae,7,0.05,3.081821,15.580574
0,mae,7,0.075,5.066124,15.264917
0,mae,7,0.1,5.812646,15.217268
0,mae,7,0.15,7.474814,15.300188
0,mse,7,0.05,0.818534,15.85175
0,mse,7,0.075,2.021789,15.409389
0,mse,7,0.1,2.689135,15.25399
0,mse,7,0.15,4.251362,14.504737
0,mae,8,0.05,2.939549,16.052856
0,mae,8,0.075,4.823422,15.478712
0,mae,8,0.1,5.648729,15.313252
0,mae,8,0.15,7.244331,15.300241
0,mse,8,0.05,0.772834,16.814339
0,mse,8,0.075,1.965725,15.895931
0,mse,8,0.1,2.580552,15.293867
0,mse,8,0.15,3.911751,14.553703
0,mae,9,0.05,3.438348,15.89294
0,mae,9,0.075,4.972834,15.426434
0,mae,9,0.1,5.918989,15.156246
0,mae,9,0.15,7.172892,15.128421
0,mse,9,0.05,1.020273,16.491858
0,mse,9,0.075,2.060822,15.417083
0,mse,9,0.1,2.900704,14.881252
0,mse,9,0.15,3.882079,14.659702
0,mae,10,0.05,3.586613,15.734522
0,mae,10,0.075,5.177031,15.314767
0,mae,10,0.1,6.189079,15.044387
0,mae,10,0.15,7.431086,15.199502
0,mse,10,0.05,1.115082,16.061867
0,mse,10,0.075,2.248339,15.427496
0,mse,10,0.1,2.987443,14.879066
0,mse,10,0.15,3.912291,14.550028
0,mae,11,0.05,3.354524,15.714046
0,mae,11,0.075,5.150386,15.405506
0,mae,11,0.1,5.845216,15.020152
0,mae,11,0.15,7.585084,14.756124
0,mse,11,0.05,0.873691,16.220612
0,mse,11,0.075,2.024914,15.485796
0,mse,11,0.1,2.543321,14.620265
0,mse,11,0.15,4.146422,13.628277
0,mae,12,0.05,3.312138,15.403866
0,mae,12,0.075,5.136437,14.705054
0,mae,12,0.1,6.505916,14.51238
0,mae,12,0.15,7.390955,14.6133
0,mse,12,0.05,0.888463,15.563683
0,mse,12,0.075,2.102134,14.256868
0,mse,12,0.1,3.187846,13.681787
0,mse,12,0.15,4.018218,13.627101
0,mae,13,0.05,3.3471,15.768188
0,mae,13,0.075,5.259091,14.760166
0,mae,13,0.1,6.29303,15.008184
0,mae,13,0.15,7.407907,14.786493
0,mse,13,0.05,0.930598,16.136972
0,mse,13,0.075,2.169845,14.416063
0,mse,13,0.1,3.018226,14.85759
0,mse,13,0.15,4.043775,14.156344
0,mae,14,0.05,3.451759,15.973487
0,mae,14,0.075,5.250211,15.136367
0,mae,14,0.1,6.550373,14.672832
0,mae,14,0.15,7.757741,14.366057
0,mse,14,0.05,1.083929,16.280857
0,mse,14,0.075,2.26012,14.751844
0,mse,14,0.1,3.269385,14.03127
0,mse,14,0.15,4.683022,13.209988
0,mae,15,0.05,3.45555,15.707929
0,mae,15,0.075,5.804672,14.840049
0,mae,15,0.1,7.055899,14.380203
0,mae,15,0.15,7.979829,14.15565
0,mse,15,0.05,0.978695,15.659472
0,mse,15,0.075,2.554933,14.005535
0,mse,15,0.1,3.780517,13.301136
0,mse,15,0.15,4.883156,12.98393
0,mae,16,0.05,3.565242,15.481804
0,mae,16,0.075,5.714301,14.753984
0,mae,16,0.1,6.906187,14.238925
0,mae,16,0.15,7.602603,14.552935
0,mse,16,0.05,1.038255,15.518922
0,mse,16,0.075,2.533994,14.161695
0,mse,16,0.1,3.631716,13.193705
0,mse,16,0.15,4.313967,13.602317
0,mae,17,0.05,3.444448,15.50847
0,mae,17,0.075,5.089813,14.865849
0,mae,17,0.1,6.11003,14.668266
0,mae,17,0.15,7.208703,14.517201
0,mse,17,0.05,1.038982,15.96899
0,mse,17,0.075,2.291366,14.642393
0,mse,17,0.1,3.033663,14.364462
0,mse,17,0.15,3.894041,13.679447
0,mae,18,0.05,3.596604,14.981149
0,mae,18,0.075,5.307148,14.663572
0,mae,18,0.1,6.313964,14.667052
0,mae,18,0.15,7.170922,14.182787
0,mse,18,0.05,1.229055,15.046608
0,mse,18,0.075,2.28366,14.241327
0,mse,18,0.1,3.156303,14.190453
0,mse,18,0.15,4.126662,12.984853
0,mae,19,0.05,3.800601,15.292536
0,mae,19,0.075,5.39555,15.003819
0,mae,19,0.1,6.21843,14.965551
0,mae,19,0.15,7.015365,14.501214
0,mse,19,0.05,1.336073,15.320353
0,mse,19,0.075,2.518206,14.677757
0,mse,19,0.1,3.238336,14.792245
0,mse,19,0.15,3.910649,13.973552
0,mae,20,0.05,4.175525,15.21126
0,mae,20,0.075,5.45746,14.925854
0,mae,20,0.1,6.16938,15.184341
0,mae,20,0.15,7.840396,14.329403
0,mse,20,0.05,1.508229,15.096737
0,mse,20,0.075,2.548996,14.470669
0,mse,20,0.1,3.123329,14.768348
0,mse,20,0.15,4.819892,13.032684
0,mae,21,0.05,4.221281,15.461128
0,mae,21,0.075,5.438594,15.183536
0,mae,21,0.1,6.251716,14.972811
0,mae,21,0.15,7.828555,14.745543
0,mse,21,0.05,1.530441,15.458508
0,mse,21,0.075,2.4676,14.639917
0,mse,21,0.1,3.148781,14.381039
0,mse,21,0.15,4.808306,13.729085
0,mae,22,0.05,3.594408,15.776949
0,mae,22,0.075,4.834949,15.629954
0,mae,22,0.1,5.55438,15.554455
0,mae,22,0.15,6.63915,15.931943
0,mse,22,0.05,1.198412,16.210125
0,mse,22,0.075,2.085007,15.637204
0,mse,22,0.1,2.715947,15.426202
0,mse,22,0.15,3.701046,15.817474
0,mae,23,0.05,3.545601,15.895923
0,mae,23,0.075,4.974965,15.597147
0,mae,23,0.1,5.707793,15.451348
0,mae,23,0.15,6.628926,15.423167
0,mse,23,0.05,1.189472,16.623663
0,mse,23,0.075,2.116856,15.97648
0,mse,23,0.1,2.792713,15.562826
0,mse,23,0.15,3.611941,15.06057
1,mae,0,0.05,4.145639,21.264812
1,mae,0,0.075,5.347373,20.106785
1,mae,0,0.1,6.466585,19.584187
1,mae,0,0.15,8.748253,18.430765
1,mse,0,0.05,1.499613,29.543505
1,mse,0,0.075,2.321038,26.91448
1,mse,0,0.1,3.110955,25.752401
1,mse,0,0.15,5.22277,22.842302
1,mae,1,0.05,3.915715,21.414946
1,mae,1,0.075,5.079773,20.627113
1,mae,1,0.1,5.872272,19.854445
1,mae,1,0.15,8.487597,18.26296
1,mse,1,0.05,1.274815,29.676926
1,mse,1,0.075,2.140488,27.521099
1,mse,1,0.1,2.750031,26.049006
1,mse,1,0.15,4.955072,22.130474
1,mae,2,0.05,3.507167,21.705811
1,mae,2,0.075,4.88978,21.0047
1,mae,2,0.1,5.606798,20.54467
1,mae,2,0.15,8.142222,18.31057
1,mse,2,0.05,1.007694,30.246677
1,mse,2,0.075,1.910963,28.879324
1,mse,2,0.1,2.556482,27.630169
1,mse,2,0.15,4.871338,22.463289
1,mae,3,0.05,3.552032,22.183052
1,mae,3,0.075,5.410994,20.912582
1,mae,3,0.1,5.814838,20.360451
1,mae,3,0.15,8.464106,18.286049
1,mse,3,0.05,1.136594,31.284737
1,mse,3,0.075,2.366157,28.644951
1,mse,3,0.1,2.809739,27.639606
1,mse,3,0.15,4.944306,22.319336
1,mae,4,0.05,3.645701,22.139818
1,mae,4,0.075,5.041152,21.048138
1,mae,4,0.1,5.556724,20.390236
1,mae,4,0.15,8.228399,18.003929
1,mse,4,0.05,1.135402,31.107117
1,mse,4,0.075,2.165391,28.926979
1,mse,4,0.1,2.529837,27.141685
1,mse,4,0.15,4.908092,21.691631
1,mae,5,0.05,3.879326,21.996166
1,mae,5,0.075,5.370463,21.088821
1,mae,5,0.1,6.067817,20.481476
1,mae,5,0.15,7.924489,18.474354
1,mse,5,0.05,1.228574,31.375557
1,mse,5,0.075,2.316001,29.533012
1,mse,5,0.1,2.896564,27.775558
1,mse,5,0.15,4.527044,22.961111
1,mae,6,0.05,3.640069,21.587404
1,mae,6,0.075,5.187339,20.542009
1,mae,6,0.1,5.868787,20.337883
1,mae,6,0.15,8.064571,17.974659
1,mse,6,0.05,1.116068,30.235981
1,mse,6,0.075,2.044398,27.992189
1,mse,6,0.1,2.666025,27.397699
1,mse,6,0.15,4.735662,21.689034
1,mae,7,0.05,3.320764,21.542894
1,mae,7,0.075,5.129936,20.872009
1,mae,7,0.1,5.848699,20.308964
1,mae,7,0.15,7.889068,18.440527
1,mse,7,0.05,0.945656,30.293961
1,mse,7,0.075,2.114381,28.677847
1,mse,7,0.1,2.723286,27.218159
1,mse,7,0.15,4.480336,22.953341
1,mae,8,0.05,3.693089,21.295876
1,mae,8,0.075,5.150769,19.985399
1,mae,8,0.1,6.575572,19.656185
1,mae,8,0.15,8.915767,18.546448
1,mse,8,0.05,1.255154,29.944361
1,mse,8,0.075,2.221357,27.076954
1,mse,8,0.1,3.449652,26.050388
1,mse,8,0.15,5.401246,23.233372
1,mae,9,0.05,3.560932,21.38867
1,mae,9,0.075,5.52297,20.282812
1,mae,9,0.1,6.658821,19.914745
1,mae,9,0.15,9.54441,18.345619
1,mse,9,0.05,1.184083,30.284462
1,mse,9,0.075,2.620369,27.853872
1,mse,9,0.1,3.442065,26.850822
1,mse,9,0.15,5.999547,22.426966
1,mae,10,0.05,3.661277,21.620811
1,mae,10,0.075,5.221923,20.665855
1,mae,10,0.1,6.087261,20.203705
1,mae,10,0.15,9.251869,18.016737
1,mse,10,0.05,1.203854,30.661568
1,mse,10,0.075,2.357539,28.446175
1,mse,10,0.1,2.921716,27.209269
1,mse,10,0.15,5.789151,21.96307
1,mae,11,0.05,3.849736,21.48633
1,mae,11,0.075,5.462171,20.131969
1,mae,11,0.1,6.62117,19.462545
1,mae,11,0.15,9.151129,17.980005
1,mse,11,0.05,1.402099,30.224951
1,mse,11,0.075,2.457539,27.092239
1,mse,11,0.1,3.419443,25.527306
1,mse,11,0.15,5.747108,21.699993
1,mae,12,0.05,4.004875,21.550894
1,mae,12,0.075,5.528589,20.217171
1,mae,12,0.1,6.719148,19.448849
